Country Name,Country_Code,Series Name,Series Code,GDP_2022
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,516334013910.156
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,61747770024.9603
Croatia,HRV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,64042742435.4191
Czechia,CZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,215974795467.249
Estonia,EST,GDP (constant 2015 US$),NY.GDP.MKTP.KD,28518917121.5992
Finland,FIN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,259985498582.812
Luxembourg,LUX,GDP (constant 2015 US$),NY.GDP.MKTP.KD,71655146215.6371
Netherlands,NLD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,894727808846.024
Norway,NOR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,433527994213.082
Portugal,PRT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,230324477738.939
Serbia,SRB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,49937794675.5132
Slovenia,SVN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,53538335168.0586
Sweden,SWE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,587578011005.74
United Kingdom,GBR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3209502458759
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,422235060667.714
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20253843510.4894
Denmark,DNK,GDP (constant 2015 US$),NY.GDP.MKTP.KD,356222057631.887
France,FRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2638406985036.32
Germany,DEU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3633579269920.31
Greece,GRC,GDP (constant 2015 US$),NY.GDP.MKTP.KD,211538468429.431
Hungary,HUN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,157531157312.522
Italy,ITA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1961616127794.06
Ireland,IRL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,498960174855.63
Latvia,LVA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,32102385241.8144
Lithuania,LTU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,52484649637.5511
North Macedonia,MKD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11318055634.9859
Poland,POL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,630289958880.488
Romania,ROU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,232157182662.583
Slovak Republic,SVK,GDP (constant 2015 US$),NY.GDP.MKTP.KD,102540393597.41
Spain,ESP,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1323591183845.31
Switzerland,CHE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,790318933740.326
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
