OID_,x_port,y_port,x,y,Shape_Length
1,4.383127133000000,51.216697310000001,4.675010155000000,50.618213890000000,0.665869563497735
2,8.582907771000000,53.548635529999999,5.554136426000000,52.134054130000003,3.343121753246380
3,9.992383947000000,53.548635529999999,9.378670542000000,56.001188180000000,2.528260979423451
4,8.158919002999999,53.537176379999998,5.554136426000000,52.134054130000003,2.958894676746383
5,24.768965479999999,59.438641670000003,25.916870249999999,58.648108309999998,1.393825995106342
6,23.634509049999998,37.952724349999997,23.110368940000001,39.420122620000001,1.558209731803461
7,-5.448828632000000,36.130718559999998,-7.933662184000000,39.675292149999997,4.329281892494943
8,2.165780466000000,41.344634499999998,-3.703790000000000,40.416775000000001,5.943178002419423
9,-0.320856365000000,39.448144190000001,-3.703790000000000,40.416775000000001,3.519049888415687
10,2.377774850000000,51.033350810000002,4.675010155000000,50.618213890000000,2.334491840091378
11,0.154698605000000,49.469176030000000,4.675010155000000,50.618213890000000,4.664513675294399
12,5.368614540000000,43.292690999999998,8.286928795000000,46.736781290000003,4.515160248214100
13,8.920952870000001,44.398499540000003,8.286928795000000,46.736781290000003,2.422761478396926
14,17.217381740000000,40.479468230000002,12.763657170000000,42.982011280000002,5.109497601042600
15,13.762446239999999,45.659006689999998,14.890636900000001,46.137592300000001,1.225514150854313
16,24.104334439999999,56.992111880000003,24.693671330000001,56.813853049999999,0.615707490006797
17,4.807115901000000,52.414179099999998,5.554136426000000,52.134054130000003,0.797818688613197
18,4.285724308000000,51.887057929999997,5.554136426000000,52.134054130000003,1.292245325612355
19,-8.869386669000001,37.952724349999997,-7.933662184000000,39.675292149999997,1.960351337546938
20,28.636430600000001,44.175046000000002,25.251739120000000,42.820436770000001,3.645952106555523
22,-0.189076072000000,53.628849619999997,-2.852943909000000,53.978447350000003,2.686774383269890
25,-1.398017020000000,50.895840939999999,-2.852943909000000,53.978447350000003,3.409156807380642
26,-1.157374746000000,54.602877880000001,-2.852943909000000,53.978447350000003,1.806931831258661
27,5.305589183000000,60.389751609999998,10.950521000000000,63.978729999999999,6.694451345019944
28,-3.357532679000000,47.750302650000002,2.194023663000000,46.642368220000002,5.661737494511163
29,-5.660823016000000,43.533333270000000,-3.703790000000000,40.416775000000001,3.680438033844228
30,-6.226654000000000,53.343442699999997,-8.241128546000001,53.304895399999999,2.014867327650927
31,-2.992401100000000,53.409968800000001,-2.852943909000000,53.978447350000003,0.585335212667980
33,24.954915000000000,60.167428999999998,25.657384000000000,65.015789999999996,4.899430627069285
37,0.498473282000000,51.497446629999999,-2.852943909000000,53.978447350000003,4.170735671500136
38,11.928981289999999,57.702579550000003,17.062431990000000,62.734209860000000,7.197171613104900
